"name","ID","CD34High_vs_CD34Low_p.adj","CD34High_vs_CD34Neg_p.adj","CD34Low_vs_CD34Neg_p.adj","CD34High_vs_CD34Low_significant","CD34High_vs_CD34Neg_significant","CD34Low_vs_CD34Neg_significant","significant","CD34High_vs_CD34Low_ratio","CD34High_vs_CD34Neg_ratio","CD34Low_vs_CD34Neg_ratio","CD34High_centered","CD34Low_centered","CD34Neg_centered"
"GANAB","Q14697","9.52e-01","9.69e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-0.0431,-0.11,-0.0669,-0.051,-0.00794,0.0589
"GAPDH","P04406","9.54e-01","9.51e-01","9.32e-01",FALSE,FALSE,FALSE,FALSE,-0.00135,-0.534,-0.533,-0.178,-0.177,0.356
"GARS","P41250","8.50e-01","9.25e-01","9.51e-01",FALSE,FALSE,FALSE,FALSE,-0.886,-1.25,-0.361,-0.711,0.175,0.536
"GART","P22102","9.48e-01","9.65e-01","9.48e-01",FALSE,FALSE,FALSE,FALSE,-0.124,0.302,0.426,0.059,0.184,-0.243
"GAS6","Q14393","9.48e-01","9.35e-01","9.01e-01",FALSE,FALSE,FALSE,FALSE,-0.162,1.46,1.62,0.433,0.595,-1.03
"GBA","P04062","8.91e-01","9.70e-01","9.42e-01",FALSE,FALSE,FALSE,FALSE,-0.968,-0.139,0.828,-0.369,0.599,-0.23
"GBE1","Q04446","8.36e-01","9.61e-01","9.45e-01",FALSE,FALSE,FALSE,FALSE,-1.02,-0.485,0.538,-0.503,0.52,-0.0177
"GDI1","P31150","7.00e-01","9.63e-01","9.02e-01",FALSE,FALSE,FALSE,FALSE,-1.98,-0.5,1.48,-0.826,1.15,-0.326
"GDI2","P50395","7.23e-01","9.41e-01","9.43e-01",FALSE,FALSE,FALSE,FALSE,-1.23,-0.779,0.455,-0.671,0.563,0.108
"GFPT1","Q06210","9.49e-01","9.63e-01","9.44e-01",FALSE,FALSE,FALSE,FALSE,-0.177,0.673,0.85,0.165,0.342,-0.508
"GGH","Q92820","8.50e-01","9.70e-01","9.33e-01",FALSE,FALSE,FALSE,FALSE,-0.9,-0.114,0.786,-0.338,0.562,-0.224
"GLB1","P16278","9.46e-01","8.88e-01","8.23e-01",FALSE,FALSE,FALSE,FALSE,-0.144,1.51,1.65,0.454,0.598,-1.05
"GLO1","Q04760","8.40e-01","9.64e-01","9.41e-01",FALSE,FALSE,FALSE,FALSE,-0.779,-0.292,0.486,-0.357,0.422,-0.0647
"GLRX3","O76003","9.34e-01","9.48e-01","9.04e-01",FALSE,FALSE,FALSE,FALSE,-0.332,0.872,1.2,0.18,0.512,-0.692
"GNAI3","P08754","9.54e-01","9.54e-01","9.36e-01",FALSE,FALSE,FALSE,FALSE,-0.0107,0.819,0.83,0.269,0.28,-0.55
"GNB1","P62873","9.45e-01","9.71e-01","9.57e-01",FALSE,FALSE,FALSE,FALSE,0.135,0.0313,-0.104,0.0555,-0.0798,0.0243
"GNS","P15586","9.32e-01","9.39e-01","8.83e-01",FALSE,FALSE,FALSE,FALSE,-0.262,0.751,1.01,0.163,0.425,-0.588
"GPC1","P35052","8.00e-01","5.52e-01","8.55e-01",FALSE,FALSE,FALSE,FALSE,-1.05,-2.37,-1.32,-1.14,-0.0907,1.23
"GPD1","P21695","8.94e-01","9.02e-01","7.32e-01",FALSE,FALSE,FALSE,FALSE,-0.971,2.22,3.19,0.415,1.39,-1.8
"GPI","P06744","7.42e-01","9.21e-01","9.55e-01",FALSE,FALSE,FALSE,FALSE,-1.11,-0.959,0.151,-0.689,0.42,0.269
"GPX3","P22352","9.20e-01","1.28e-01","2.70e-01",FALSE,FALSE,FALSE,FALSE,0.455,3.79,3.34,1.42,0.96,-2.38
"GSN","P06396","9.37e-01","8.76e-01","7.73e-01",FALSE,FALSE,FALSE,FALSE,-0.197,1.16,1.36,0.321,0.518,-0.839
"GSPT1","P15170","9.29e-01","8.57e-01","7.12e-01",FALSE,FALSE,FALSE,FALSE,-0.344,1.66,2,0.438,0.782,-1.22
"GSS","P48637","7.73e-01","9.46e-01","9.46e-01",FALSE,FALSE,FALSE,FALSE,-1.26,-0.81,0.451,-0.691,0.571,0.12
"GSTP1","P09211","8.82e-01","9.59e-01","8.94e-01",FALSE,FALSE,FALSE,FALSE,-0.465,0.358,0.823,-0.0354,0.429,-0.394
"HADH","Q16836","8.23e-01","9.66e-01","8.83e-01",FALSE,FALSE,FALSE,FALSE,-2.7,0.664,3.36,-0.679,2.02,-1.34
"HARS","P12081","8.27e-01","8.45e-01","9.29e-01",FALSE,FALSE,FALSE,FALSE,-1.51,-2.69,-1.18,-1.4,0.107,1.29
"HEBP2","Q9Y5Z4","9.16e-01","9.46e-01","8.81e-01",FALSE,FALSE,FALSE,FALSE,-0.573,1.01,1.59,0.147,0.72,-0.866
"HEXA","P06865","9.45e-01","8.98e-01","8.85e-01",FALSE,FALSE,FALSE,FALSE,0.161,1.41,1.25,0.523,0.362,-0.885
"HEXB","P07686","8.47e-01","9.43e-01","8.07e-01",FALSE,FALSE,FALSE,FALSE,-0.644,0.678,1.32,0.0112,0.655,-0.666
"HIST1H2AJ","Q99878","9.08e-01","9.71e-01","9.43e-01",FALSE,FALSE,FALSE,FALSE,0.509,0.0119,-0.498,0.174,-0.336,0.162
"HIST1H2BL","Q99880","8.86e-01","9.68e-01","9.45e-01",FALSE,FALSE,FALSE,FALSE,0.54,0.142,-0.398,0.227,-0.312,0.0851
"HIST1H4A","P62805","9.12e-01","9.53e-01","9.56e-01",FALSE,FALSE,FALSE,FALSE,0.541,0.717,0.176,0.419,-0.122,-0.298
"HK1","P19367","8.91e-01","9.18e-01","9.39e-01",FALSE,FALSE,FALSE,FALSE,-0.74,-1.46,-0.725,-0.735,0.00491,0.73
"HK2","P52789","8.31e-01","9.68e-01","9.01e-01",FALSE,FALSE,FALSE,FALSE,-1.51,0.278,1.79,-0.412,1.1,-0.69
"HNRNPA1","P09651","8.01e-01","9.58e-01","8.13e-01",FALSE,FALSE,FALSE,FALSE,-0.868,0.395,1.26,-0.158,0.71,-0.553
"HNRNPA2B1","P22626","9.01e-01","9.46e-01","8.68e-01",FALSE,FALSE,FALSE,FALSE,-0.485,0.695,1.18,0.0702,0.555,-0.625
"HNRNPAB","Q99729","8.30e-01","9.58e-01","9.47e-01",FALSE,FALSE,FALSE,FALSE,-1.06,-0.584,0.479,-0.549,0.514,0.0348
"HNRNPF","P52597","8.17e-01","9.62e-01","8.53e-01",FALSE,FALSE,FALSE,FALSE,-1.71,0.675,2.38,-0.344,1.36,-1.02
"HNRNPK","P61978","9.46e-01","9.51e-01","9.24e-01",FALSE,FALSE,FALSE,FALSE,-0.106,0.515,0.622,0.136,0.243,-0.379
"HP","P00738","8.18e-01","9.34e-01","7.04e-01",FALSE,FALSE,FALSE,FALSE,-1.35,1.32,2.67,-0.012,1.34,-1.33
"HPRT1","P00492","9.53e-01","9.34e-01","9.07e-01",FALSE,FALSE,FALSE,FALSE,0.0307,-1.03,-1.06,-0.334,-0.365,0.698
"HSP90AA1","P07900","8.96e-01","9.65e-01","9.21e-01",FALSE,FALSE,FALSE,FALSE,-0.517,0.249,0.767,-0.0892,0.428,-0.339
"HSP90AB1","P08238","8.42e-01","9.66e-01","9.01e-01",FALSE,FALSE,FALSE,FALSE,-0.653,0.182,0.834,-0.157,0.496,-0.339
"HSP90B1","P14625","8.04e-01","8.93e-01","9.51e-01",FALSE,FALSE,FALSE,FALSE,-0.918,-1.17,-0.255,-0.697,0.221,0.476
"HSPA13","P48723","9.45e-01","4.49e-01","4.70e-01",FALSE,FALSE,FALSE,FALSE,0.192,3.46,3.26,1.22,1.02,-2.24
"HSPA1A","P08107","8.59e-01","9.67e-01","9.12e-01",FALSE,FALSE,FALSE,FALSE,-0.608,0.183,0.791,-0.142,0.466,-0.325
"HSPA4","P34932","8.41e-01","9.70e-01","9.27e-01",FALSE,FALSE,FALSE,FALSE,-0.892,-0.0787,0.813,-0.324,0.568,-0.245
"HSPA5","P11021","9.54e-01","9.70e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,0.0112,-0.0558,-0.067,-0.0148,-0.0261,0.0409
"HSPA8","P11142","9.37e-01","9.41e-01","8.94e-01",FALSE,FALSE,FALSE,FALSE,-0.187,0.63,0.817,0.148,0.335,-0.482
"HSPB1","P04792","9.50e-01","9.71e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-0.0672,0.00632,0.0736,-0.0203,0.0469,-0.0266
"HSPB6","O14558","8.26e-01","9.56e-01","9.48e-01",FALSE,FALSE,FALSE,FALSE,-1.58,-0.956,0.623,-0.845,0.734,0.111
"HSPD1","P10809","8.37e-01","9.61e-01","9.46e-01",FALSE,FALSE,FALSE,FALSE,-1.42,-0.721,0.703,-0.715,0.709,0.00592
"HSPE1","P61604","8.84e-01","9.55e-01","9.60e-01",FALSE,FALSE,FALSE,FALSE,-0.741,-0.701,0.0405,-0.481,0.261,0.22
"HSPG2","P98160","9.52e-01","7.51e-01","7.00e-01",FALSE,FALSE,FALSE,FALSE,-0.0424,-1.9,-1.85,-0.646,-0.604,1.25
"HSPH1","Q92598","8.96e-01","9.60e-01","9.06e-01",FALSE,FALSE,FALSE,FALSE,-0.853,0.67,1.52,-0.0609,0.792,-0.731
"HTRA1","Q92743","9.37e-01","9.43e-01","9.39e-01",FALSE,FALSE,FALSE,FALSE,0.249,0.818,0.569,0.355,0.107,-0.462
"HTRA3","P83110","9.08e-01","8.86e-01","9.12e-01",FALSE,FALSE,FALSE,FALSE,0.828,2.41,1.58,1.08,0.251,-1.33
"HYOU1","Q9Y4L1","9.13e-01","8.73e-01","9.01e-01",FALSE,FALSE,FALSE,FALSE,0.368,1.21,0.842,0.526,0.158,-0.684
"IAH1","Q2TAA2","8.42e-01","9.69e-01","9.12e-01",FALSE,FALSE,FALSE,FALSE,-0.748,0.113,0.861,-0.212,0.536,-0.324
"IDH1","O75874","8.06e-01","9.56e-01","8.09e-01",FALSE,FALSE,FALSE,FALSE,-1.09,0.556,1.65,-0.178,0.912,-0.734
"IGFBP2","P18065","8.00e-01","9.67e-01","8.68e-01",FALSE,FALSE,FALSE,FALSE,0.927,-0.172,-1.1,0.252,-0.675,0.424
"IGFBP3","P17936","9.10e-01","8.92e-01","9.15e-01",FALSE,FALSE,FALSE,FALSE,0.882,2.55,1.66,1.14,0.261,-1.4
"IGFBP5","P24593","9.54e-01","9.52e-01","9.33e-01",FALSE,FALSE,FALSE,FALSE,-0.0115,0.511,0.523,0.167,0.178,-0.345
"IGFBP7","Q16270","8.99e-01","9.47e-01","9.54e-01",FALSE,FALSE,FALSE,FALSE,0.597,0.826,0.23,0.474,-0.122,-0.352
"IL6","P05231","9.48e-01","9.42e-01","9.29e-01",FALSE,FALSE,FALSE,FALSE,0.203,1.56,1.36,0.589,0.385,-0.974
"ILF2","Q12905","8.74e-01","9.20e-01","9.44e-01",FALSE,FALSE,FALSE,FALSE,-1.21,-2.05,-0.846,-1.09,0.121,0.967
"INHBA","P08476","9.37e-01","9.57e-01","9.52e-01",FALSE,FALSE,FALSE,FALSE,0.369,0.758,0.389,0.375,0.00677,-0.382
"IPO5","O00410","8.35e-01","9.59e-01","8.61e-01",FALSE,FALSE,FALSE,FALSE,-1.01,0.571,1.58,-0.147,0.866,-0.718
"IQGAP1","P46940","8.91e-01","9.08e-01","9.33e-01",FALSE,FALSE,FALSE,FALSE,-0.479,-1.02,-0.539,-0.499,-0.02,0.519
"ISLR","O14498","9.31e-01","5.19e-01","5.91e-01",FALSE,FALSE,FALSE,FALSE,0.293,2.37,2.08,0.889,0.596,-1.49
"ITGAV","P06756","9.17e-01","8.67e-01","6.97e-01",FALSE,FALSE,FALSE,FALSE,0.507,-1.83,-2.34,-0.442,-0.949,1.39
"ITGB1","P05556","9.28e-01","8.87e-01","7.68e-01",FALSE,FALSE,FALSE,FALSE,0.578,-2.38,-2.96,-0.602,-1.18,1.78
"ITIH2","CON__Q9TRI1","8.48e-01","9.71e-01","9.28e-01",FALSE,FALSE,FALSE,FALSE,-0.867,-0.0397,0.827,-0.302,0.565,-0.263
"ITIH5","Q86UX2","9.20e-01","5.70e-01","6.73e-01",FALSE,FALSE,FALSE,FALSE,-0.476,-2.86,-2.39,-1.11,-0.638,1.75
"ITM2B","Q9Y287","1.46e-01","7.66e-01","9.55e-01",FALSE,FALSE,FALSE,FALSE,-3.35,-3.05,0.299,-2.13,1.22,0.918
"KARS","Q15046","8.28e-01","9.49e-01","9.55e-01",FALSE,FALSE,FALSE,FALSE,-1.01,-0.79,0.218,-0.599,0.409,0.19
"KDELC2","Q7Z4H8","9.11e-01","9.71e-01","9.42e-01",FALSE,FALSE,FALSE,FALSE,0.49,-0.037,-0.527,0.151,-0.339,0.188
"KIF5B","P33176","8.51e-01","9.42e-01","8.12e-01",FALSE,FALSE,FALSE,FALSE,1.03,-1.15,-2.18,-0.0391,-1.07,1.11
"KPNB1","Q14974","9.25e-01","9.58e-01","9.57e-01",FALSE,FALSE,FALSE,FALSE,-0.309,-0.422,-0.112,-0.244,0.0656,0.178
"KRT1","P04264","9.43e-01","9.68e-01","9.49e-01",FALSE,FALSE,FALSE,FALSE,0.255,-0.254,-0.509,0.000169,-0.255,0.254
"KRT10","CON__P13645","9.34e-01","9.69e-01","9.55e-01",FALSE,FALSE,FALSE,FALSE,0.576,0.206,-0.37,0.261,-0.315,0.0548
"KRT18","P05783","8.91e-01","8.10e-01","8.79e-01",FALSE,FALSE,FALSE,FALSE,-0.902,-2.79,-1.89,-1.23,-0.33,1.56
"KRT6B","P04259","9.51e-01","9.47e-01","9.23e-01",FALSE,FALSE,FALSE,FALSE,-0.137,1.43,1.57,0.433,0.57,-1
"KRT7","CON__Q3KNV1","8.38e-01","8.90e-01","5.85e-01",FALSE,FALSE,FALSE,FALSE,1.14,-1.89,-3.03,-0.251,-1.39,1.64
"KRT9","CON__P35527","9.06e-01","9.52e-01","8.90e-01",FALSE,FALSE,FALSE,FALSE,-1.32,1.68,3,0.118,1.44,-1.56
"KTN1","Q86UP2","8.79e-01","9.65e-01","9.12e-01",FALSE,FALSE,FALSE,FALSE,0.931,-0.435,-1.37,0.165,-0.766,0.6
"LAMA2","P24043","9.41e-01","8.73e-01","7.82e-01",FALSE,FALSE,FALSE,FALSE,-0.416,3.12,3.54,0.901,1.32,-2.22
"LAMA4","Q16363","9.52e-01","9.56e-01","9.42e-01",FALSE,FALSE,FALSE,FALSE,-0.0565,-0.6,-0.543,-0.219,-0.162,0.381
"LAMB1","P07942","9.29e-01","9.60e-01","9.57e-01",FALSE,FALSE,FALSE,FALSE,-0.392,-0.53,-0.138,-0.307,0.0848,0.223
"LAMB2","P55268","9.37e-01","3.75e-01","2.49e-01",FALSE,FALSE,FALSE,FALSE,0.269,-3.02,-3.29,-0.918,-1.19,2.11
"LAMC1","P11047","9.54e-01","9.66e-01","9.53e-01",FALSE,FALSE,FALSE,FALSE,0.0159,-0.201,-0.217,-0.0617,-0.0776,0.139
"LAMP1","P11279","9.53e-01","9.39e-01","9.20e-01",FALSE,FALSE,FALSE,FALSE,-0.0442,-1.18,-1.14,-0.408,-0.364,0.772
"LAMP2","P13473","9.53e-01","6.70e-01","6.07e-01",FALSE,FALSE,FALSE,FALSE,-0.0351,-2.19,-2.16,-0.743,-0.707,1.45
"LARS","Q9P2J5","9.24e-01","9.60e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-0.628,-0.771,-0.143,-0.466,0.162,0.305
"LASP1","Q14847","8.80e-01","9.19e-01","9.42e-01",FALSE,FALSE,FALSE,FALSE,-0.945,-1.69,-0.745,-0.879,0.0667,0.812
"LBP","P18428","7.66e-01","9.45e-01","6.80e-01",FALSE,FALSE,FALSE,FALSE,-1.41,0.91,2.32,-0.167,1.24,-1.08
"LDHA","P00338","7.79e-01","9.35e-01","9.53e-01",FALSE,FALSE,FALSE,FALSE,-0.872,-0.694,0.178,-0.522,0.35,0.172
"LDHB","P07195","8.78e-01","9.52e-01","8.71e-01",FALSE,FALSE,FALSE,FALSE,-0.563,0.558,1.12,-0.00143,0.561,-0.56
"LDLR","P01130","6.84e-01","8.61e-01","9.56e-01",FALSE,FALSE,FALSE,FALSE,-2.02,-2.24,-0.217,-1.42,0.602,0.819
"LEP","P41159","9.00e-01","9.36e-01","8.39e-01",FALSE,FALSE,FALSE,FALSE,-1.07,1.86,2.93,0.261,1.33,-1.6
"LEPRE1","Q32P28","8.52e-01","8.72e-01","9.26e-01",FALSE,FALSE,FALSE,FALSE,-0.736,-1.5,-0.761,-0.744,-0.00842,0.753
"LGALS1","P09382","9.42e-01","9.10e-01","8.48e-01",FALSE,FALSE,FALSE,FALSE,-0.136,0.868,1,0.244,0.38,-0.624
"LGALS3BP","Q08380","9.52e-01","9.71e-01","9.59e-01",FALSE,FALSE,FALSE,FALSE,-0.0359,0.00476,0.0407,-0.0104,0.0255,-0.0151
"LGMN","Q99538","9.15e-01","5.13e-01","6.44e-01",FALSE,FALSE,FALSE,FALSE,0.445,2.56,2.11,1,0.555,-1.56
"LHPP","Q9H008","6.80e-01","9.65e-01","7.76e-01",FALSE,FALSE,FALSE,FALSE,-2.09,0.432,2.52,-0.551,1.53,-0.983
"LIPA","P38571","4.65e-01","9.62e-01","8.52e-01",FALSE,FALSE,FALSE,FALSE,-2.23,-0.471,1.76,-0.902,1.33,-0.43
"LIPE","Q05469","8.88e-01","9.56e-01","8.88e-01",FALSE,FALSE,FALSE,FALSE,-1.5,1.39,2.89,-0.0358,1.46,-1.43
"LMNA","P02545","9.46e-01","7.56e-01","6.31e-01",FALSE,FALSE,FALSE,FALSE,0.182,-2.62,-2.8,-0.812,-0.994,1.81
"LOX","P28300","9.14e-01","8.87e-01","9.10e-01",FALSE,FALSE,FALSE,FALSE,0.547,1.71,1.16,0.752,0.204,-0.956
"LOXL2","Q9Y4K0","9.39e-01","7.06e-01","7.19e-01",FALSE,FALSE,FALSE,FALSE,-0.186,-1.77,-1.58,-0.65,-0.464,1.11
"LPL","P06858","8.35e-01","7.78e-01","3.61e-01",FALSE,FALSE,FALSE,FALSE,-1.6,3.58,5.18,0.66,2.26,-2.92
"LRP1","Q07954","7.93e-01","9.39e-01","9.53e-01",FALSE,FALSE,FALSE,FALSE,-1.67,-1.3,0.363,-0.99,0.676,0.314
"LSM8","O95777","9.42e-01","9.65e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-0.165,-0.249,-0.0834,-0.138,0.0273,0.111
"LUM","P51884","8.93e-01","7.65e-01","8.52e-01",FALSE,FALSE,FALSE,FALSE,0.644,2.21,1.57,0.952,0.308,-1.26
"MAGOH","P61326","7.72e-01","9.65e-01","8.32e-01",FALSE,FALSE,FALSE,FALSE,1.05,-0.253,-1.3,0.265,-0.784,0.519
"MAMDC2","Q7Z304","9.43e-01","9.23e-01","9.15e-01",FALSE,FALSE,FALSE,FALSE,0.324,1.89,1.57,0.739,0.414,-1.15
"MAN1A1","P33908","9.01e-01","7.67e-01","4.77e-01",FALSE,FALSE,FALSE,FALSE,-0.456,1.67,2.13,0.406,0.862,-1.27
"MAN2A1","Q16706","8.72e-01","9.66e-01","9.47e-01",FALSE,FALSE,FALSE,FALSE,-0.752,-0.291,0.461,-0.348,0.404,-0.0567
"MAN2B1","O00754","9.24e-01","7.34e-01","4.99e-01",FALSE,FALSE,FALSE,FALSE,-0.403,2.21,2.61,0.601,1,-1.61
"MAN2B2","Q9Y2E5","9.15e-01","8.35e-01","8.74e-01",FALSE,FALSE,FALSE,FALSE,1.06,4.07,3.01,1.71,0.649,-2.36
"MAP4","P27816","8.13e-01","9.36e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-1.17,-1.06,0.113,-0.742,0.428,0.314
"MAPRE1","Q15691","9.51e-01","9.71e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-0.0911,0.0176,0.109,-0.0245,0.0666,-0.0421
"MATN3","O15232","9.18e-01","9.58e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-0.622,-0.749,-0.127,-0.457,0.165,0.292
"MCAM","P43121","7.30e-01","9.67e-01","8.95e-01",FALSE,FALSE,FALSE,FALSE,1.19,0.2,-0.988,0.463,-0.725,0.262
"MDH1","P40925","8.10e-01","9.58e-01","8.20e-01",FALSE,FALSE,FALSE,FALSE,-0.894,0.442,1.34,-0.151,0.743,-0.593
"MDH2","P40926","8.96e-01","9.22e-01","9.40e-01",FALSE,FALSE,FALSE,FALSE,0.932,1.85,0.922,0.929,-0.00357,-0.925
"ME1","P48163","7.63e-01","9.65e-01","9.12e-01",FALSE,FALSE,FALSE,FALSE,-3.11,-0.739,2.38,-1.28,1.83,-0.546
"MFAP4","P55083","8.37e-01","9.56e-01","8.50e-01",FALSE,FALSE,FALSE,FALSE,-1.21,0.792,2,-0.139,1.07,-0.931
"MFGE8","Q08431","9.53e-01","9.42e-01","9.18e-01",FALSE,FALSE,FALSE,FALSE,-0.0222,0.874,0.896,0.284,0.306,-0.59
"MGP","P08493","6.23e-01","5.47e-01","9.12e-01",FALSE,FALSE,FALSE,FALSE,2.15,3.45,1.3,1.87,-0.283,-1.58
"MMP1","P03956","9.33e-01","8.86e-01","7.80e-01",FALSE,FALSE,FALSE,FALSE,0.577,-2.81,-3.39,-0.744,-1.32,2.07
"MMP2","P08253","8.89e-01","9.44e-01","8.53e-01",FALSE,FALSE,FALSE,FALSE,-0.731,0.986,1.72,0.0851,0.816,-0.901
"MSN","P26038","8.18e-01","8.53e-01","9.35e-01",FALSE,FALSE,FALSE,FALSE,-0.888,-1.45,-0.565,-0.78,0.108,0.673
"MYDGF","Q969H8","8.73e-01","9.69e-01","9.40e-01",FALSE,FALSE,FALSE,FALSE,-1.01,-0.175,0.839,-0.397,0.618,-0.221
"MYL12A","P19105","9.48e-01","8.43e-01","7.63e-01",FALSE,FALSE,FALSE,FALSE,0.114,-1.78,-1.9,-0.556,-0.67,1.23
"MYL4","P12829","9.24e-01","8.93e-01","7.72e-01",FALSE,FALSE,FALSE,FALSE,0.614,-2.26,-2.87,-0.548,-1.16,1.71
"MYL6","P60660","9.47e-01","8.56e-01","7.77e-01",FALSE,FALSE,FALSE,FALSE,0.143,-1.87,-2.01,-0.576,-0.719,1.3
"MYL9","P24844","9.12e-01","8.13e-01","8.63e-01",FALSE,FALSE,FALSE,FALSE,-0.677,-2.61,-1.94,-1.1,-0.419,1.52
"MYO1C","O00159","9.17e-01","9.39e-01","9.44e-01",FALSE,FALSE,FALSE,FALSE,-0.442,-0.911,-0.469,-0.451,-0.00914,0.46
"MYOF","Q9NZM1","9.31e-01","8.86e-01","8.94e-01",FALSE,FALSE,FALSE,FALSE,-0.459,-2.08,-1.62,-0.847,-0.388,1.24
"NAGLU","P54802","9.50e-01","8.32e-01","7.99e-01",FALSE,FALSE,FALSE,FALSE,0.0664,1.57,1.51,0.547,0.481,-1.03
"NAMPT","P43490","7.84e-01","9.14e-01","9.60e-01",FALSE,FALSE,FALSE,FALSE,-1.83,-1.88,-0.0447,-1.24,0.596,0.641
